DrugName,DrugID_PubChemCID,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetGeneSymbol_Entrez
atorvastatin,60823,CHEMBL1487,DB01076,CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(O)=O)-c1ccccc1,DPP4
atorvastatin,60823,CHEMBL1487,DB01076,CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(O)=O)-c1ccccc1,HMGCR
atosiban,68613,CHEMBL382301,NA,CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)C(NC(=O)[C@@H](NC2=O)[C@@H](C)CC)[C@@H](C)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)cc1,AVPR1A
atosiban,68613,CHEMBL382301,NA,CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)C(NC(=O)[C@@H](NC2=O)[C@@H](C)CC)[C@@H](C)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)cc1,AVPR1B
atosiban,68613,CHEMBL382301,NA,CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)C(NC(=O)[C@@H](NC2=O)[C@@H](C)CC)[C@@H](C)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)cc1,AVPR2
atosiban,68613,CHEMBL382301,NA,CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)C(NC(=O)[C@@H](NC2=O)[C@@H](C)CC)[C@@H](C)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)cc1,OXTR
atovaquone,74989,CHEMBL1450,DB01117,Clc1ccc(cc1)[C@H]1CC[C@@H](CC1)C1C(=O)C(=O)c2ccccc2C1=O,DHODH
ATPA,2252,NA,NA,CC(C)(C)c1onc(O)c1CC(N)C(O)=O,GRIA2
ATPA,2252,NA,NA,CC(C)(C)c1onc(O)c1CC(N)C(O)=O,GRIK1
atracurium,62887,CHEMBL1360,DB13450,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,CHRNA2
atrasentan,159594,CHEMBL9194,NA,CCCCN(CCCC)C(=O)CN1C[C@@H]([C@H]([C@@H]1c1ccc(OC)cc1)C(O)=O)c1ccc2OCOc2c1,EDNRA
atropine,174174,CHEMBL517712,DB00572,CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,CHRM1
atropine,174174,CHEMBL517712,DB00572,CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,CHRM2
atropine,174174,CHEMBL517712,DB00572,CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,CHRM3
atropine,174174,CHEMBL517712,DB00572,CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,CHRM4
atropine,174174,CHEMBL517712,DB00572,CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,CHRM5
AT13148,24905401,CHEMBL3544960,NA,NCC(O)(c1ccc(Cl)cc1)c1ccc(cc1)-c1cn[nH]c1,AKT1
AT13148,24905401,CHEMBL3544960,NA,NCC(O)(c1ccc(Cl)cc1)c1ccc(cc1)-c1cn[nH]c1,AKT2
AT13148,24905401,CHEMBL3544960,NA,NCC(O)(c1ccc(Cl)cc1)c1ccc(cc1)-c1cn[nH]c1,AKT3
AT13148,24905401,CHEMBL3544960,NA,NCC(O)(c1ccc(Cl)cc1)c1ccc(cc1)-c1cn[nH]c1,ROCK1
AT13148,24905401,CHEMBL3544960,NA,NCC(O)(c1ccc(Cl)cc1)c1ccc(cc1)-c1cn[nH]c1,ROCK2
AT13148,24905401,CHEMBL3544960,NA,NCC(O)(c1ccc(Cl)cc1)c1ccc(cc1)-c1cn[nH]c1,SGK3
AT13387,11955716,CHEMBL1214827,NA,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,HSP90AA1
AT7867,11175137,CHEMBL428462,DB07859,Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1,AKT2
AT7867,11175137,CHEMBL428462,DB07859,Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1,GSK3B
AT7867,11175137,CHEMBL428462,DB07859,Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1,PKIA
AT7867,11175137,CHEMBL428462,DB07859,Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1,PRKACA
auranofin,24199313,CHEMBL1366,DB00995,CCP(CC)(CC)=[Au]S[C@H]1OC(COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)C1OC(C)=O,IKBKB
auranofin,24199313,CHEMBL1366,DB00995,CCP(CC)(CC)=[Au]S[C@H]1OC(COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)C1OC(C)=O,PRDX5
auranofin,24199313,CHEMBL1366,DB00995,CCP(CC)(CC)=[Au]S[C@H]1OC(COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)C1OC(C)=O,TRPA1
aurora-a-inhibitor-i,44139710,CHEMBL502124,NA,CCN1CCN(CC1)C(=O)Cc1ccc(Nc2ncc(F)c(Nc3ccc(cc3)C(=O)Nc3ccccc3Cl)n2)cc1,AURKA
aurothioglucose,454937,CHEMBL2354773,NA,OC[C@H]1OC(S[Au])[C@H](O)[C@@H](O)[C@@H]1O,PRKCI
autotaxin-modulator-1,90032900,NA,NA,C[C@@H](N1C2CCC1CC(C2)C(O)=O)c1ccc2ccc(O[C@H]3CC[C@H](CC3)C(F)(F)F)c(c2c1)C(F)(F)F,ENPP2
AV-412,9806229,CHEMBL2138625,NA,CN1CCN(CC1)C(C)(C)C#Cc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,EGFR
AV-412,9806229,CHEMBL2138625,NA,CN1CCN(CC1)C(C)(C)C#Cc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,ERBB2
AV-608,9917079,CHEMBL1765508,NA,FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=O)N1CC[C@@H](C[C@H]1Cc1ccc(Cl)cc1)NC(=O)c1ccnc2ccccc12,TACR1
avagacestat,46883536,CHEMBL1090771,DB11893,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(cc1F)-c1ncon1)S(=O)(=O)c1ccc(Cl)cc1,PSEN1
avanafil,9869929,CHEMBL1963681,DB06237,COc1ccc(CNc2nc(ncc2C(=O)NCc2ncccn2)N2CCC[C@H]2CO)cc1Cl,PDE5A
avasimibe,166558,CHEMBL101309,NA,CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(cccc2C(C)C)C(C)C)c(c1)C(C)C,CES1
avatrombopag,9852519,CHEMBL2103883,DB11995,OC(=O)C1CCN(CC1)c1ncc(cc1Cl)C(=O)Nc1nc(-c2cc(Cl)cs2)c(s1)N1CCN(CC1)C1CCCCC1,MPL
AVE-0991,9851724,NA,NA,CCNC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(Cn2c(C=O)c(OC)nc2-c2ccccc2)cc1,MRGPRX1
AVL-292,59174488,CHEMBL3301625,DB11764,COCCOc1ccc(Nc2ncc(F)c(Nc3cccc(NC(=O)C=C)c3)n2)cc1,BTK
AVL-292,59174488,CHEMBL3301625,DB11764,COCCOc1ccc(Nc2ncc(F)c(Nc3cccc(NC(=O)C=C)c3)n2)cc1,YES1
AVN-944,9918559,CHEMBL3349001,NA,CC[C@H](CC#N)OC(=O)N[C@@H](C)c1cccc(NC(=O)Nc2ccc(-c3cnco3)c(OC)c2)c1,IMPDH1
AVN-944,9918559,CHEMBL3349001,NA,CC[C@H](CC#N)OC(=O)N[C@@H](C)c1cccc(NC(=O)Nc2ccc(-c3cnco3)c(OC)c2)c1,IMPDH2
avobenzone,51040,CHEMBL1200522,DB09495,COc1ccc(cc1)C(=O)CC(=O)c1ccc(cc1)C(C)(C)C,TYR
axitinib,6450551,CHEMBL1289926,DB06626,CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1,CSF1
axitinib,6450551,CHEMBL1289926,DB06626,CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1,FLT1
axitinib,6450551,CHEMBL1289926,DB06626,CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1,FLT4
axitinib,6450551,CHEMBL1289926,DB06626,CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1,KDR
axitinib,6450551,CHEMBL1289926,DB06626,CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1,PLK4
AZ-10417808,16759160,CHEMBL586058,NA,[O-][N+](=O)c1cc(C(=O)NCC=C)c2nc(Nc3ccc(Cl)c(Cl)c3)[nH]c(=O)c2c1,CASP3
AZ-628,11676786,CHEMBL2144069,NA,Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1,BRAF
AZ-628,11676786,CHEMBL2144069,NA,Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1,RAF1
azacitidine,9444,CHEMBL1489,DB00928,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,DNMT1
azacitidine,9444,CHEMBL1489,DB00928,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,DNMT3A
azacyclonol,15723,CHEMBL127508,NA,OC(C1CCNCC1)(c1ccccc1)c1ccccc1,HRH1
azaguanine-8,8646,CHEMBL374107,DB01667,Nc1nc2[nH]nnc2c(=O)[nH]1,PNP
azaperone,15443,CHEMBL340211,NA,Fc1ccc(cc1)C(=O)CCCN1CCN(CC1)c1ccccn1,DRD2
azaperone,15443,CHEMBL340211,NA,Fc1ccc(cc1)C(=O)CCCN1CCN(CC1)c1ccccn1,DRD3
azapropazone,26098,CHEMBL1565476,NA,CCCC1C(=O)N2N(C1=O)c1cc(C)ccc1N=C2N(C)C,PTGS2
azasetron,2264,CHEMBL1598608,NA,CN1C(=O)COc2c1cc(Cl)cc2C(=O)NC1CN2CCC1CC2,HTR3A
azasetron,2264,CHEMBL1598608,NA,CN1C(=O)COc2c1cc(Cl)cc2C(=O)NC1CN2CCC1CC2,HTR3B
azatadine,19861,CHEMBL946,DB00719,CN1CCC(CC1)=C1c2ccccc2CCc2cccnc12,HRH1
azathioprine,2265,CHEMBL1542,DB00993,Cn1cnc(c1Sc1[nH]cnc2ncnc12)[N+]([O-])=O,HPRT1
azathioprine,2265,CHEMBL1542,DB00993,Cn1cnc(c1Sc1[nH]cnc2ncnc12)[N+]([O-])=O,IMPDH1
azathioprine,2265,CHEMBL1542,DB00993,Cn1cnc(c1Sc1[nH]cnc2ncnc12)[N+]([O-])=O,PPAT
AZD1080,24781302,CHEMBL1969664,NA,Oc1[nH]c2ccc(cc2c1-c1ccc(CN2CCOCC2)cn1)C#N,GSK3A
AZD1080,24781302,CHEMBL1969664,NA,Oc1[nH]c2ccc(cc2c1-c1ccc(CN2CCOCC2)cn1)C#N,GSK3B
AZD1208,58423153,CHEMBL2048872,NA,N[C@@H]1CCCN(C1)c1c(cccc1-c1ccccc1)\C=C1/SC(=O)NC1=O,PIM1
AZD1208,58423153,CHEMBL2048872,NA,N[C@@H]1CCCN(C1)c1c(cccc1-c1ccccc1)\C=C1/SC(=O)NC1=O,PIM2
AZD1208,58423153,CHEMBL2048872,NA,N[C@@H]1CCCN(C1)c1c(cccc1-c1ccccc1)\C=C1/SC(=O)NC1=O,PIM3
AZD1283,23649325,CHEMBL2419490,NA,CCOC(=O)c1cc(C#N)c(nc1C)N1CCC(CC1)C(=O)NS(=O)(=O)Cc1ccccc1,P2RY12
AZD1446,24795080,CHEMBL2179529,NA,Clc1ccc(o1)C(=O)N1CC2CNCC2C1,CHRNA4
AZD1446,24795080,CHEMBL2179529,NA,Clc1ccc(o1)C(=O)N1CC2CNCC2C1,CHRNB2
AZD1480,16659841,CHEMBL1231124,DB12588,C[C@H](Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c1ncc(F)cn1,JAK1
AZD1480,16659841,CHEMBL1231124,DB12588,C[C@H](Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c1ncc(F)cn1,JAK2
AZD1480,16659841,CHEMBL1231124,DB12588,C[C@H](Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c1ncc(F)cn1,JAK3
AZD1981,11292191,CHEMBL1914489,DB11946,CC(=O)Nc1cccc2n(CC(O)=O)c(C)c(Sc3ccc(Cl)cc3)c12,PTGDR2
AZD2014,25262792,CHEMBL2336325,DB11925,CNC(=O)c1cccc(c1)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C,MTOR
AZD2858,10138980,CHEMBL2177161,NA,CN1CCN(CC1)S(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)C(=O)Nc1cccnc1,GSK3B
AZD3264,91666658,NA,NA,Cc1noc(C)c1-c1ccc(-c2cc(C(N)=O)c(NC(N)=O)s2)c(O[C@H]2CCNC2)c1,IKBKB
AZD3463,56599293,NA,NA,COc1cc(ccc1Nc1ncc(Cl)c(n1)-c1c[nH]c2ccccc12)N1CCC(N)CC1,ALK
AZD3463,56599293,NA,NA,COc1cc(ccc1Nc1ncc(Cl)c(n1)-c1c[nH]c2ccccc12)N1CCC(N)CC1,IGF1R
AZD3514,46893585,CHEMBL2346976,NA,CC(=O)N1CCN(CCOc2ccc(cc2)C2CCN(CC2)C2=Nn3c(CC2)nnc3C(F)(F)F)CC1,AR
AZD3759,78209992,CHEMBL3623290,NA,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)C[C@H]1C,EGFR
AZD3839,60210951,NA,NA,NC1N[C@](c2cccc(F)c12)(c1ccnc(c1)C(F)F)c1cccc(c1)-c1cncnc1,BACE1
AZD3965,10369242,CHEMBL3335793,NA,CC(C)n1c2sc(Cc3c(C)[nH]nc3C(F)(F)F)c(C(=O)N3C[C@](C)(O)CO3)c2c(=O)n(C)c1=O,SLC16A1
AZD4282,5257127,NA,NA,NCC(O)=O,AGXT
AZD4282,5257127,NA,NA,NCC(O)=O,AGXT2
AZD4282,5257127,NA,NA,NCC(O)=O,ALAS1
AZD4282,5257127,NA,NA,NCC(O)=O,ALAS2
AZD4282,5257127,NA,NA,NCC(O)=O,BAAT
AZD4282,5257127,NA,NA,NCC(O)=O,GARS
AZD4282,5257127,NA,NA,NCC(O)=O,GATM
AZD4282,5257127,NA,NA,NCC(O)=O,GCAT
AZD4282,5257127,NA,NA,NCC(O)=O,GCSH
AZD4282,5257127,NA,NA,NCC(O)=O,GLDC
AZD4282,5257127,NA,NA,NCC(O)=O,GLRA1
AZD4282,5257127,NA,NA,NCC(O)=O,GLRA2
AZD4282,5257127,NA,NA,NCC(O)=O,GLRA3
AZD4282,5257127,NA,NA,NCC(O)=O,GLRB
AZD4282,5257127,NA,NA,NCC(O)=O,GLYAT
AZD4282,5257127,NA,NA,NCC(O)=O,GLYATL1
AZD4282,5257127,NA,NA,NCC(O)=O,GLYATL2
AZD4282,5257127,NA,NA,NCC(O)=O,GNMT
AZD4282,5257127,NA,NA,NCC(O)=O,GPR18
AZD4282,5257127,NA,NA,NCC(O)=O,GPRC6A
AZD4282,5257127,NA,NA,NCC(O)=O,GRIN1
AZD4282,5257127,NA,NA,NCC(O)=O,GRIN2A
AZD4282,5257127,NA,NA,NCC(O)=O,GRIN2B
AZD4282,5257127,NA,NA,NCC(O)=O,GRIN2C
AZD4282,5257127,NA,NA,NCC(O)=O,GRIN2D
AZD4282,5257127,NA,NA,NCC(O)=O,GRIN3B
AZD4282,5257127,NA,NA,NCC(O)=O,GSS
AZD4282,5257127,NA,NA,NCC(O)=O,PIPOX
AZD4282,5257127,NA,NA,NCC(O)=O,SHMT1
AZD4282,5257127,NA,NA,NCC(O)=O,SHMT2
AZD4282,5257127,NA,NA,NCC(O)=O,SLC32A1
AZD4282,5257127,NA,NA,NCC(O)=O,SLC36A1
AZD4282,5257127,NA,NA,NCC(O)=O,SLC6A5
AZD4282,5257127,NA,NA,NCC(O)=O,SLC6A9
AZD4547,51039095,CHEMBL3348846,DB12247,COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1,FGFR1
AZD4547,51039095,CHEMBL3348846,DB12247,COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1,FGFR2
AZD4547,51039095,CHEMBL3348846,DB12247,COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1,FGFR3
AZD4547,51039095,CHEMBL3348846,DB12247,COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1,FGFR4
AZD4547,51039095,CHEMBL3348846,DB12247,COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1,IGF1R
AZD4547,51039095,CHEMBL3348846,DB12247,COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1,KDR
AZD5069,59149652,NA,NA,C[C@H](Nc1cc(NS(=O)(=O)N2CCC2)nc(SCc2cccc(F)c2F)n1)[C@@H](O)CO,CXCR2
AZD5363,25227436,CHEMBL2325741,DB12218,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@@H](CCO)c1ccc(Cl)cc1,AKT1
AZD5363,25227436,CHEMBL2325741,DB12218,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@@H](CCO)c1ccc(Cl)cc1,AKT2
AZD5363,25227436,CHEMBL2325741,DB12218,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@@H](CCO)c1ccc(Cl)cc1,AKT3
AZD5438,16747683,CHEMBL488436,NA,CC(C)n1c(C)ncc1-c1ccnc(Nc2ccc(cc2)S(C)(=O)=O)n1,KCNH2
AZD5582,49847690,CHEMBL3108827,NA,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1C(=O)N[C@@H]1[C@@H](Cc2ccccc12)OCC#CC#CCO[C@@H]1Cc2ccccc2[C@@H]1NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)NC)C1CCCCC1,BIRC2
AZD5582,49847690,CHEMBL3108827,NA,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1C(=O)N[C@@H]1[C@@H](Cc2ccccc12)OCC#CC#CCO[C@@H]1Cc2ccccc2[C@@H]1NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)NC)C1CCCCC1,BIRC3
AZD5582,49847690,CHEMBL3108827,NA,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1C(=O)N[C@@H]1[C@@H](Cc2ccccc12)OCC#CC#CCO[C@@H]1Cc2ccccc2[C@@H]1NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)NC)C1CCCCC1,XIAP
AZD6482,44137675,CHEMBL2165191,NA,C[C@@H](Nc1ccccc1C(O)=O)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1,PIK3CA
AZD6482,44137675,CHEMBL2165191,NA,C[C@@H](Nc1ccccc1C(O)=O)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1,PIK3CB
AZD6482,44137675,CHEMBL2165191,NA,C[C@@H](Nc1ccccc1C(O)=O)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1,PIK3CD
AZD6482,44137675,CHEMBL2165191,NA,C[C@@H](Nc1ccccc1C(O)=O)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1,PIK3CG
AZD6738,86660217,CHEMBL3545178,NA,C[C@@H]1COCCN1c1cc(nc(n1)-c1ccnc2[nH]ccc12)C1(CC1)S(C)(=N)=O,ATR
AZD6765,3038485,CHEMBL2107647,NA,NC(Cc1ccccn1)c1ccccc1,GRIN1
AZD7545,9805105,CHEMBL3392645,NA,CN(C)C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)C(C)(O)C(F)(F)F)c(Cl)c1,PDK1
AZD7687,42636350,CHEMBL2178953 ,NA,Cc1nc(C)c(nc1C(N)=O)-c1ccc(cc1)[C@H]1CC[C@H](CC(O)=O)CC1,DGAT1
AZD7762,11152667,CHEMBL2041933,DB12242,NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)-c1cccc(F)c1,CHEK1
AZD7762,11152667,CHEMBL2041933,DB12242,NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)-c1cccc(F)c1,CHEK2
AZD8055,25262965,CHEMBL1801204,DB12774,COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C,MTOR
AZD8186,52913813,CHEMBL3408248,NA,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(cc2c1oc(cc2=O)N1CCOCC1)C(=O)N(C)C,PIK3CB
AZD8186,52913813,CHEMBL3408248,NA,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(cc2c1oc(cc2=O)N1CCOCC1)C(=O)N(C)C,PIK3CD
AZD8835,76685059,NA,NA,CCn1nc(nc1-c1cnc(N)c(n1)-c1nnc(o1)C(C)(C)C)C1CCN(CC1)C(=O)CCO,PIK3CA
AZD8835,76685059,NA,NA,CCn1nc(nc1-c1cnc(N)c(n1)-c1nnc(o1)C(C)(C)C)C1CCN(CC1)C(=O)CCO,PIK3CD
AZD8931,11488320,CHEMBL2408045,DB12183,CNC(=O)CN1CCC(CC1)Oc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,EGFR
AZD8931,11488320,CHEMBL2408045,DB12183,CNC(=O)CN1CCC(CC1)Oc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,ERBB2
AZD8931,11488320,CHEMBL2408045,DB12183,CNC(=O)CN1CCC(CC1)Oc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,ERBB3
AZD9496,86287635,CHEMBL3623004,NA,C[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1CC(C)(C)F)c1c(F)cc(\C=C\C(O)=O)cc1F,ESR1
AZD9668,46861623,CHEMBL3617964,NA,Cc1c(cc(C(=O)NCc2ccc(cn2)S(C)(=O)=O)c(=O)n1-c1cccc(c1)C(F)(F)F)-c1ccnn1C,ELANE
azelaic-acid,19347555,CHEMBL1238,NA,OC(=O)CCCCCCCC(O)=O,AKR1D1
azelaic-acid,19347555,CHEMBL1238,NA,OC(=O)CCCCCCCC(O)=O,SRD5A2
azelaic-acid,19347555,CHEMBL1238,NA,OC(=O)CCCCCCCC(O)=O,TYR
azelastine,2267,CHEMBL639,DB00972,CN1CCCC(CC1)n1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,HRH1
azeliragon,11180124,NA,DB12689,CCCCc1nc(cn1-c1ccc(Oc2ccc(Cl)cc2)cc1)-c1ccc(OCCCN(CC)CC)cc1,AGER
azelnidipine,65948,CHEMBL1275868,DB09230,CC(C)OC(=O)C1=C(C)NC(N)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC1CN(C1)C(c1ccccc1)c1ccccc1,CACNA1C
azilsartan,9825285,CHEMBL57242,NA,CCOc1nc2cccc(C(O)=O)c2n1Cc1ccc(cc1)-c1ccccc1-c1nc(=O)o[nH]1,AGTR1
azilsartan,9825285,CHEMBL57242,NA,CCOc1nc2cccc(C(O)=O)c2n1Cc1ccc(cc1)-c1ccccc1-c1nc(=O)o[nH]1,AGTR2
azilsartan-medoxomil,11238823,CHEMBL2028661,DB08822,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(cc1)-c1ccccc1-c1nc(=O)o[nH]1,AGTR1
azilsartan-medoxomil,11238823,CHEMBL2028661,DB08822,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(cc1)-c1ccccc1-c1nc(=O)o[nH]1,AGTR2
azimilide,9571004,CHEMBL123558,DB04957,CN1CCN(CCCCN2C(=O)CN(\N=C\c3ccc(o3)-c3ccc(Cl)cc3)C2=O)CC1,KCNA5
azimilide,9571004,CHEMBL123558,DB04957,CN1CCN(CCCCN2C(=O)CN(\N=C\c3ccc(o3)-c3ccc(Cl)cc3)C2=O)CC1,KCNE1
azimilide,9571004,CHEMBL123558,DB04957,CN1CCN(CCCCN2C(=O)CN(\N=C\c3ccc(o3)-c3ccc(Cl)cc3)C2=O)CC1,KCNH2
azimilide,9571004,CHEMBL123558,DB04957,CN1CCN(CCCCN2C(=O)CN(\N=C\c3ccc(o3)-c3ccc(Cl)cc3)C2=O)CC1,KCNQ1
azithromycin,447043,CHEMBL529,DB00207,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,MLNR
azosemide,2273,CHEMBL1097235,DB08961,NS(=O)(=O)c1cc(-c2nnn[nH]2)c(NCc2cccs2)cc1Cl,SLC12A1
azosemide,2273,CHEMBL1097235,DB08961,NS(=O)(=O)c1cc(-c2nnn[nH]2)c(NCc2cccs2)cc1Cl,SLC12A2
AZ191,72716071,CHEMBL3421968,NA,COc1cc(ccc1Nc1nccc(n1)-c1cn(C)c2cnccc12)N1CCN(C)CC1,DYRK1B
AZ20,46244454,CHEMBL2325697,NA,C[C@@H]1COCCN1c1cc(nc(n1)-c1cccc2[nH]ccc12)C1(CC1)S(C)(=O)=O,ATR
AZ20,46244454,CHEMBL2325697,NA,C[C@@H]1COCCN1c1cc(nc(n1)-c1cccc2[nH]ccc12)C1(CC1)S(C)(=O)=O,MTOR
AZ505,24961094,CHEMBL2169920,NA,Oc1ccc(CCNCCN(C2CCCCC2)C(=O)CCNCCc2ccc(Cl)c(Cl)c2)c2OCC(=O)Nc12,SMYD2
AZ5104,71496460,CHEMBL3353411,NA,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc1nccc(n1)-c1c[nH]c2ccccc12,EGFR
AZ960,25099184,CHEMBL1774055,NA,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c1ccc(F)cc1,JAK2
A205804,9839311,CHEMBL267678,NA,Cc1ccc(Sc2cncc3sc(cc23)C(N)=O)cc1,ICAM1
A205804,9839311,CHEMBL267678,NA,Cc1ccc(Sc2cncc3sc(cc23)C(N)=O)cc1,SELE
