DrugName,DrugID_LSM,DrugID_ChEMBL,DrugID_DrugBank,DrugID_PubChemCID,DrugSMILES,TargetGeneSymbol_Entrez,MechanismOfAction
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNA2D3,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNA2D4,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNB1,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNB2,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNB3,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNB4,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNG1,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNG2,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNG3,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNG4,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNG5,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNG6,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNG7,Voltage-gated calcium channel blocker
bepridil,LSM-1898,CHEMBL1008,DB01244,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CACNG8,Voltage-gated calcium channel blocker
betamethasone,LSM-2864,CHEMBL632,DB00443,9782,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,NR3C1,Glucocorticoid receptor agonist
betamethasone dipropionate,LSM-6736,CHEMBL1200384,NA,21800,CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)OC(=O)CC,NR3C1,Glucocorticoid receptor agonist
betaxolol,LSM-1255,CHEMBL423,DB00195,2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,ADRB1,Beta-1 adrenergic receptor antagonist
betazole,LSM-5366,CHEMBL1201323,DB00272,7741,C1=C(NN=C1)CCN,HRH2,Histamine H2 receptor agonist
bethanechol,LSM-5196,CHEMBL1482,DB01019,2370,CC(C[N+](C)(C)C)OC(=O)N,CHRM2,Muscarinic acetylcholine receptor M2 agonist
bethanechol,LSM-5196,CHEMBL1482,DB01019,2370,CC(C[N+](C)(C)C)OC(=O)N,CHRM3,Muscarinic acetylcholine receptor M3 agonist
betrixaban,LSM-45445,CHEMBL512351,NA,NA,NA,F10,Coagulation factor X inhibitor
bexarotene,LSM-45378,CHEMBL1023,NA,NA,NA,RXRA,Retinoid X receptor agonist
bexarotene,LSM-45378,CHEMBL1023,NA,NA,NA,RXRB,Retinoid X receptor agonist
bexarotene,LSM-45378,CHEMBL1023,NA,NA,NA,RXRG,Retinoid X receptor agonist
bgt-226 free base,LSM-6710,CHEMBL3218578,NA,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,MTOR,Serine/threonine-protein kinase mTOR inhibitor
bgt-226 free base,LSM-6710,CHEMBL3218578,NA,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,PIK3CA,PI3-kinase class I inhibitor
bgt-226 free base,LSM-6710,CHEMBL3218578,NA,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,PIK3CB,PI3-kinase class I inhibitor
bgt-226 free base,LSM-6710,CHEMBL3218578,NA,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,PIK3CD,PI3-kinase class I inhibitor
bgt-226 free base,LSM-6710,CHEMBL3218578,NA,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,PIK3CG,PI3-kinase class I inhibitor
bgt-226 free base,LSM-6710,CHEMBL3218578,NA,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,PIK3R1,PI3-kinase class I inhibitor
bgt-226 free base,LSM-6710,CHEMBL3218578,NA,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,PIK3R2,PI3-kinase class I inhibitor
bgt-226 free base,LSM-6710,CHEMBL3218578,NA,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,PIK3R3,PI3-kinase class I inhibitor
bgt-226 free base,LSM-6710,CHEMBL3218578,NA,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,PIK3R5,PI3-kinase class I inhibitor
bi 2536,LSM-1041,CHEMBL513909,NA,11364421,CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,PLK1,Serine/threonine-protein kinase PLK1 inhibitor
bicalutamide,LSM-1437,CHEMBL409,DB01128,2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,AR,Androgen Receptor antagonist
biperiden,LSM-1235,CHEMBL1101,DB00810,2381,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,CHRM1,Muscarinic acetylcholine receptor M1 antagonist
birinapant,LSM-45858,CHEMBL3039522,NA,NA,NA,BIRC2,cIAP1/cIAP2 inhibitor
birinapant,LSM-45858,CHEMBL3039522,NA,NA,NA,BIRC3,cIAP1/cIAP2 inhibitor
bisoprolol,LSM-1886,CHEMBL645,DB00612,2405,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,ADRB1,Beta-1 adrenergic receptor antagonist
bms-754807,LSM-6218,CHEMBL575448,NA,24785538,C[C@]1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,IGF1R,Insulin-like growth factor I receptor inhibitor
bms-754807,LSM-6218,CHEMBL575448,NA,24785538,C[C@]1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,INSR,Insulin receptor inhibitor
bms-777607,LSM-1144,CHEMBL460702,DB12064,24794418,CCOC1=C(C(=O)N(C=C1)C2=CC=C(C=C2)F)C(=O)NC3=CC(=C(C=C3)OC4=C(C(=NC=C4)N)Cl)F,MET,Hepatocyte growth factor receptor inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,ADRM1,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMA1,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMA2,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMA3,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMA4,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMA5,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMA6,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMA7,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMA8,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMB1,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMB10,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMB11,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMB2,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMB3,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMB4,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMB5,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMB6,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMB7,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMB8,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMB9,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMC1,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMC2,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMC3,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMC4,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMC5,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMC6,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMD1,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMD11,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMD12,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMD13,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMD14,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMD2,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMD3,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMD4,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMD6,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMD7,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMD8,26S proteosome inhibitor
bortezomib,LSM-6281,CHEMBL325041,DB00188,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,SEM1,26S proteosome inhibitor
bosentan,LSM-5825,CHEMBL957,DB00559,104865,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,EDNRA,"Endothelin receptor, ET-A/ET-B antagonist"
bosentan,LSM-5825,CHEMBL957,DB00559,104865,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,EDNRB,"Endothelin receptor, ET-A/ET-B antagonist"
bosutinib,LSM-1190,CHEMBL288441,DB06616,5328940,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,ABL1,Tyrosine-protein kinase ABL inhibitor
bosutinib,LSM-1190,CHEMBL288441,DB06616,5328940,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,HCK,Tyrosine-protein kinase HCK  inhibitor
bosutinib,LSM-1190,CHEMBL288441,DB06616,5328940,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,LYN,Tyrosine-protein kinase Lyn  inhibitor
bosutinib,LSM-1190,CHEMBL288441,DB06616,5328940,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,SRC,Tyrosine-protein kinase SRC inhibitor
bretylium,LSM-5607,CHEMBL1199080,DB01158,2431,CC[N+](C)(C)CC1=CC=CC=C1Br,SLC6A2,Norepinephrine transporter substrate
brexpiprazole,LSM-45790,CHEMBL2105760,NA,NA,NA,DRD2,Dopamine D2 receptor partial agonist
brexpiprazole,LSM-45790,CHEMBL2105760,NA,NA,NA,HTR1A,Serotonin 1a (5-HT1a) receptor partial agonist
brexpiprazole,LSM-45790,CHEMBL2105760,NA,NA,NA,HTR2A,Serotonin 2a (5-HT2a) receptor antagonist
brimonidine,LSM-3526,CHEMBL844,DB00484,2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,ADRA2A,Adrenergic receptor alpha-2 agonist
brimonidine,LSM-3526,CHEMBL844,DB00484,2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,ADRA2B,Adrenergic receptor alpha-2 agonist
brimonidine,LSM-3526,CHEMBL844,DB00484,2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,ADRA2C,Adrenergic receptor alpha-2 agonist
brinzolamide,LSM-3677,CHEMBL220491,DB01194,68844,CCN[C@H]1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC,CA2,Carbonic anhydrase II inhibitor
brivanib,LSM-5421,CHEMBL377300,DB11958,11234052,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)O)C,FGFR1,Fibroblast growth factor receptor inhibitor
brivanib,LSM-5421,CHEMBL377300,DB11958,11234052,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)O)C,FGFR2,Fibroblast growth factor receptor inhibitor
brivanib,LSM-5421,CHEMBL377300,DB11958,11234052,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)O)C,FGFR3,Fibroblast growth factor receptor inhibitor
brivanib,LSM-5421,CHEMBL377300,DB11958,11234052,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)O)C,FGFR4,Fibroblast growth factor receptor inhibitor
brivanib,LSM-5421,CHEMBL377300,DB11958,11234052,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)O)C,FLT1,Vascular endothelial growth factor receptor inhibitor
brivanib,LSM-5421,CHEMBL377300,DB11958,11234052,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)O)C,FLT4,Vascular endothelial growth factor receptor inhibitor
brivanib,LSM-5421,CHEMBL377300,DB11958,11234052,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OC[C@@H](C)O)C,KDR,Vascular endothelial growth factor receptor inhibitor
bromfenac,LSM-5585,CHEMBL1077,DB00963,60726,C1=CC(=C(C(=C1)CC(=O)O)N)C(=O)C2=CC=C(C=C2)Br,PTGS1,Cyclooxygenase inhibitor
bromfenac,LSM-5585,CHEMBL1077,DB00963,60726,C1=CC(=C(C(=C1)CC(=O)O)N)C(=O)C2=CC=C(C=C2)Br,PTGS2,Cyclooxygenase inhibitor
bromocriptine,LSM-6550,CHEMBL493,DB01200,31101,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,DRD2,D2-like dopamine receptor agonist
bromocriptine,LSM-6550,CHEMBL493,DB01200,31101,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,DRD3,D2-like dopamine receptor agonist
bromocriptine,LSM-6550,CHEMBL493,DB01200,31101,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,DRD4,D2-like dopamine receptor agonist
brompheniramine,LSM-1736,CHEMBL811,DB00835,6834,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2,HRH1,Histamine H1 receptor antagonist
budesonide,LSM-1472,CHEMBL1370,DB01222,5281004,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,NR3C1,Glucocorticoid receptor agonist
bumetanide,LSM-2848,CHEMBL1072,DB00887,2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,SLC12A1,Sodium-(potassium)-chloride cotransporter 2 inhibitor
buparlisib,LSM-1148,CHEMBL2017974,DB11666,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,PIK3CA,PI3-kinase class I inhibitor
buparlisib,LSM-1148,CHEMBL2017974,DB11666,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,PIK3CB,PI3-kinase class I inhibitor
buparlisib,LSM-1148,CHEMBL2017974,DB11666,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,PIK3CD,PI3-kinase class I inhibitor
buparlisib,LSM-1148,CHEMBL2017974,DB11666,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,PIK3CG,PI3-kinase class I inhibitor
buparlisib,LSM-1148,CHEMBL2017974,DB11666,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,PIK3R1,PI3-kinase class I inhibitor
buparlisib,LSM-1148,CHEMBL2017974,DB11666,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,PIK3R2,PI3-kinase class I inhibitor
buparlisib,LSM-1148,CHEMBL2017974,DB11666,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,PIK3R3,PI3-kinase class I inhibitor
buparlisib,LSM-1148,CHEMBL2017974,DB11666,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,PIK3R5,PI3-kinase class I inhibitor
bupivacaine,LSM-4301,CHEMBL1098,DB00297,2474,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,SCN4A,Sodium channel protein type IV alpha subunit blocker
bupropion,LSM-1267,CHEMBL894,DB01156,444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,SLC6A2,Norepinephrine transporter inhibitor
bupropion,LSM-1267,CHEMBL894,DB01156,444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,SLC6A3,Dopamine transporter inhibitor
buspirone,LSM-4105,CHEMBL49,DB00490,2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,HTR1A,Serotonin 1a (5-HT1a) receptor partial agonist
butalbital,LSM-5793,CHEMBL454,DB00241,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,GABRA1,GABA-A receptor; anion channel positive allosteric modulator
butalbital,LSM-5793,CHEMBL454,DB00241,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,GABRA2,GABA-A receptor; anion channel positive allosteric modulator
butalbital,LSM-5793,CHEMBL454,DB00241,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,GABRA3,GABA-A receptor; anion channel positive allosteric modulator
butalbital,LSM-5793,CHEMBL454,DB00241,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,GABRA4,GABA-A receptor; anion channel positive allosteric modulator
butalbital,LSM-5793,CHEMBL454,DB00241,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,GABRA5,GABA-A receptor; anion channel positive allosteric modulator
butalbital,LSM-5793,CHEMBL454,DB00241,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,GABRA6,GABA-A receptor; anion channel positive allosteric modulator
butalbital,LSM-5793,CHEMBL454,DB00241,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,GABRB1,GABA-A receptor; anion channel positive allosteric modulator
butalbital,LSM-5793,CHEMBL454,DB00241,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,GABRB2,GABA-A receptor; anion channel positive allosteric modulator
butalbital,LSM-5793,CHEMBL454,DB00241,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,GABRB3,GABA-A receptor; anion channel positive allosteric modulator
butalbital,LSM-5793,CHEMBL454,DB00241,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,GABRD,GABA-A receptor; anion channel positive allosteric modulator
butalbital,LSM-5793,CHEMBL454,DB00241,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,GABRE,GABA-A receptor; anion channel positive allosteric modulator
butalbital,LSM-5793,CHEMBL454,DB00241,2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,GABRG1,GABA-A receptor; anion channel positive allosteric modulator
