DrugName,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetGeneSymbol_Entrez,TargetID_Entrez
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,CDK6,1021
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,CDK2,1017
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,ABCG2,9429
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,CDK4,1019
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,PIK3CA,5290
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,SMARCB1,6598
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,CDK5,1020
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,CDK9,1025
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,CDK7,1022
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,ABCC1,4363
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,CDK1,983
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,CDK3,1018
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,PIK3CB,5291
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,CDK10,8558
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,XIAP,331
alvocidib,CHEMBL428690,DB03496,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,CDK8,1024
am-211,CHEMBL2181753,NA,CCN(CC1=C(C=CC(=C1)C(F)(F)F)C2=C(C=CC(=C2)CC(=O)O)OC)C(=O)NCC3=CC=CC=C3,PTGDR2,11251
am-461,CHEMBL3545014,NA,NA,PTGDR,5729
am-461,CHEMBL3545014,NA,NA,PTGDR2,11251
ama0076,CHEMBL3545073,NA,NA,ROCK2,9475
ama0076,CHEMBL3545073,NA,NA,ROCK1,6093
amantadine hydrochloride,CHEMBL1569,DB00915,C1C2CC3CC1CC(C2)(C3)N.Cl,GRIN3B,116444
amantadine hydrochloride,CHEMBL1569,DB00915,C1C2CC3CC1CC(C2)(C3)N.Cl,GRIN1,2902
amantadine hydrochloride,CHEMBL1569,DB00915,C1C2CC3CC1CC(C2)(C3)N.Cl,GRIN2A,2903
amantadine hydrochloride,CHEMBL1569,DB00915,C1C2CC3CC1CC(C2)(C3)N.Cl,GRIN2D,2906
amantadine hydrochloride,CHEMBL1569,DB00915,C1C2CC3CC1CC(C2)(C3)N.Cl,GRIN2B,2904
amantadine hydrochloride,CHEMBL1569,DB00915,C1C2CC3CC1CC(C2)(C3)N.Cl,GRIN2C,2905
amantadine hydrochloride,CHEMBL1569,DB00915,C1C2CC3CC1CC(C2)(C3)N.Cl,GRIN3A,116443
amatuximab,CHEMBL1742984,NA,NA,MSLN,10232
ambenonium,CHEMBL1652,DB01122,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl,ACHE,43
ambenonium chloride,CHEMBL1200541,NA,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl.[Cl-].[Cl-],ACHE,43
ambenonium chloride,CHEMBL1200541,NA,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl.[Cl-].[Cl-],PRMT5,10419
ambrisentan,CHEMBL1111,DB06403,CC1=CC(=NC(=N1)O[C@H](C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C,EDNRA,1909
ambrisentan,CHEMBL1111,DB06403,CC1=CC(=NC(=N1)O[C@H](C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C,EDNRB,1910
amcinonide,CHEMBL1200732,DB00288,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)F)O)C)OC6(O2)CCCC6,ANXA1,301
amcinonide,CHEMBL1200732,DB00288,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)F)O)C)OC6(O2)CCCC6,NR3C1,2908
amcinonide,CHEMBL1200732,DB00288,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)F)O)C)OC6(O2)CCCC6,TACR3,6870
ame-133v,CHEMBL2109346,NA,NA,ITGB2,3689
amediplase,CHEMBL2108361,NA,NA,PLG,5340
amediplase,CHEMBL2108361,NA,NA,PLAU,5328
amelubant,CHEMBL1742420,NA,CCOC(=O)/N=C(/C1=CC=C(C=C1)OCC2=CC(=CC=C2)COC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)O)\N,LTB4R,1241
amesergide,CHEMBL160293,NA,CC(C)N1C=C2C[C@@H]3[C@H](C[C@H](CN3C)C(=O)NC4CCCCC4)C5=C2C1=CC=C5,HTR2A,3356
amg-108,CHEMBL2109458,NA,NA,IL1A,3552
amg-108,CHEMBL2109458,NA,NA,IL1B,3553
amg-108,CHEMBL2109458,NA,NA,IL1R1,3554
amg-208,CHEMBL496102,DB08079,COC1=CC2=NC=CC(=C2C=C1)OCC3=NN=C4N3N=C(C=C4)C5=CC=CC=C5,MET,4233
amg-319,CHEMBL3545048,NA,NA,PIK3CA,5290
amg-319,CHEMBL3545048,NA,NA,PIK3CD,5293
amg-319,CHEMBL3545048,NA,NA,PIK3CG,5294
amg-319,CHEMBL3545048,NA,NA,PIK3CB,5291
amg-337,CHEMBL3545212,NA,NA,MET,4233
amg-337,CHEMBL3545212,NA,NA,KRAS,3845
amg-337,CHEMBL3545212,NA,NA,TP53,7157
amg-337,CHEMBL3545212,NA,NA,CYP3A4,1576
amg-337,CHEMBL3545212,NA,NA,EGFR,1956
amg-337,CHEMBL3545212,NA,NA,ERBB2,2064
amg-517,CHEMBL229430,NA,CC(=O)NC1=NC2=C(C=CC=C2S1)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F,TRPV1,7442
amg-548,CHEMBL585902,NA,CN1C(=O)C(=C(N=C1NC[C@H](CC2=CC=CC=C2)N)C3=CC=NC=C3)C4=CC5=CC=CC=C5C=C4,MAPK14,1432
amg-714,CHEMBL2109467,NA,NA,IL15,3600
amg-761,CHEMBL2109340,NA,NA,CCR4,1233
amg-888,CHEMBL2109396,NA,NA,ERBB3,2065
amg-900,CHEMBL2140408,NA,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N,AURKB,9212
amg-900,CHEMBL2140408,NA,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N,AURKA,6790
amg-900,CHEMBL2140408,NA,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N,AURKC,6795
amg-900,CHEMBL2140408,NA,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N,TP53,7157
amg-900,CHEMBL2140408,NA,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N,CCNE1,898
amg-900,CHEMBL2140408,NA,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N,MYC,4609
amibegron,CHEMBL1193948,DB05395,CCOC(=O)COC1=CC2=C(CC[C@@H](C2)NC[C@@H](C3=CC(=CC=C3)Cl)O)C=C1,ADRB3,155
amibegron hydrochloride,CHEMBL545437,NA,CCOC(=O)COC1=CC2=C(CC[C@@H](C2)NC[C@@H](C3=CC(=CC=C3)Cl)O)C=C1.Cl,ADRB3,155
amifostine,CHEMBL1006,DB01143,C(CN)CNCCSP(=O)(O)O,ALPPL2,251
amifostine,CHEMBL1006,DB01143,C(CN)CNCCSP(=O)(O)O,MYC,4609
amifostine,CHEMBL1006,DB01143,C(CN)CNCCSP(=O)(O)O,TGFB1,7040
amifostine,CHEMBL1006,DB01143,C(CN)CNCCSP(=O)(O)O,SMAD2,4087
amifostine,CHEMBL1006,DB01143,C(CN)CNCCSP(=O)(O)O,GSR,2936
amikacin,CHEMBL177,DB00479,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N,B2M,567
amikacin,CHEMBL177,DB00479,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N,SMN1,6606
amikacin,CHEMBL177,DB00479,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N,CSF2,1437
amikacin,CHEMBL177,DB00479,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N,IFNG,3458
amikacin sulfate,CHEMBL1164318,NA,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N.OS(=O)(=O)O,IL2,3558
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,ASGR1,432
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,ASIC2,40
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,SCNN1D,6339
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,SCNN1B,6338
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,KCNJ5,3762
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,SCNN1A,6337
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,SCNN1G,6340
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,ASIC3,9311
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,SLC9A5,6553
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,TRPV2,51393
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,ASIC1,41
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,TRPC7,57113
amiloride,CHEMBL945,DB00594,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,PKD2L1,9033
amiloride hydrochloride,CHEMBL1398126,NA,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.O.O.Cl,SCNN1B,6338
amiloride hydrochloride,CHEMBL1398126,NA,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.O.O.Cl,SCNN1G,6340
amiloride hydrochloride,CHEMBL1398126,NA,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.O.O.Cl,SCNN1A,6337
aminocaproic acid,CHEMBL1046,DB00513,C(CCC(=O)O)CCN,PLG,5340
aminocaproic acid,CHEMBL1046,DB00513,C(CCC(=O)O)CCN,PLAT,5327
aminoethoxyvinylglycine,CHEMBL1972647,NA,C(CO/C=C/C(C(=O)O)N)N,CTH,1491
aminoglutethimide,CHEMBL488,DB00357,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,TFF3,7033
aminoglutethimide,CHEMBL488,DB00357,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,CYP1B1,1545
aminoglutethimide,CHEMBL488,DB00357,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,CYP19A1,1588
aminoglutethimide,CHEMBL488,DB00357,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,CYP11A1,1583
aminoglutethimide,CHEMBL488,DB00357,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,GNRH1,2796
aminoglutethimide,CHEMBL488,DB00357,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,TG,7038
aminoglutethimide,CHEMBL488,DB00357,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,GGT1,2678
aminolevulinic acid,CHEMBL601,DB00855,C(CC(=O)O)C(=O)CN,HTR1B,3351
aminolevulinic acid,CHEMBL601,DB00855,C(CC(=O)O)C(=O)CN,HTR1D,3352
aminolevulinic acid,CHEMBL601,DB00855,C(CC(=O)O)C(=O)CN,BCL2,596
aminolevulinic acid,CHEMBL601,DB00855,C(CC(=O)O)C(=O)CN,ALAD,210
aminophylline,CHEMBL190,DB01223,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,PDE4A,5141
aminophylline,CHEMBL190,DB01223,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,PDE4D,5144
aminophylline,CHEMBL190,DB01223,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,PDE3A,5139
aminophylline,CHEMBL190,DB01223,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,PDE3B,5140
aminophylline,CHEMBL190,DB01223,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,ADORA1,134
aminophylline,CHEMBL190,DB01223,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,PDE4C,5143
aminophylline,CHEMBL190,DB01223,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,ADORA2B,136
aminophylline,CHEMBL190,DB01223,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,PDE4B,5142
aminophylline,CHEMBL190,DB01223,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,ADORA2A,135
aminophylline,CHEMBL190,DB01223,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,ADORA3,140
aminopterin,CHEMBL274619,DB08878,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,DHFR,1719
aminopterin,CHEMBL274619,DB08878,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,MYC,4609
aminosalicylate potassium,CHEMBL1200584,NA,C1=CC(=C(C=C1N)O)C(=O)[O-].[K+],PTGS2,5743
aminosalicylate potassium,CHEMBL1200584,NA,C1=CC(=C(C=C1N)O)C(=O)[O-].[K+],PTGS1,5742
aminosalicylate sodium,CHEMBL2096646,NA,C1=CC(=C(C=C1N)O)C(=O)[O-].O.O.[Na+],PTGS1,5742
aminosalicylate sodium,CHEMBL2096646,NA,C1=CC(=C(C=C1N)O)C(=O)[O-].O.O.[Na+],PTGS2,5743
amiodarone,CHEMBL633,DB01118,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,ADRA1A,148
amiodarone,CHEMBL633,DB01118,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,KCNH2,3757
amiodarone,CHEMBL633,DB01118,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,ADRB1,153
amiodarone,CHEMBL633,DB01118,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,TG,7038
amiodarone,CHEMBL633,DB01118,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,SFTPA1,653509
amiodarone,CHEMBL633,DB01118,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,KCNA7,3743
amiodarone,CHEMBL633,DB01118,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,CYP3A4,1576
amiodarone hydrochloride,CHEMBL1083993,NA,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl,ERG,2078
amiselimod hydrochloride,CHEMBL3707374,NA,CCCCCCCOC1=C(C=C(C=C1)CCC(CO)(CO)N)C(F)(F)F.Cl,S1PR1,1901
amiselimod hydrochloride,CHEMBL3707374,NA,CCCCCCCOC1=C(C=C(C=C1)CCC(CO)(CO)N)C(F)(F)F.Cl,S1PR3,1903
amiselimod hydrochloride,CHEMBL3707374,NA,CCCCCCCOC1=C(C=C(C=C1)CCC(CO)(CO)N)C(F)(F)F.Cl,S1PR2,9294
amiselimod hydrochloride,CHEMBL3707374,NA,CCCCCCCOC1=C(C=C(C=C1)CCC(CO)(CO)N)C(F)(F)F.Cl,S1PR5,53637
amiselimod hydrochloride,CHEMBL3707374,NA,CCCCCCCOC1=C(C=C(C=C1)CCC(CO)(CO)N)C(F)(F)F.Cl,S1PR4,8698
amisulpride,CHEMBL243712,DB06288,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,DRD3,1814
amisulpride,CHEMBL243712,DB06288,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,DRD2,1813
amitifadine,CHEMBL528995,NA,C1[C@H]2[C@@]1(CNC2)C3=CC(=C(C=C3)Cl)Cl,SLC6A4,6532
amitifadine,CHEMBL528995,NA,C1[C@H]2[C@@]1(CNC2)C3=CC(=C(C=C3)Cl)Cl,SLC6A2,6530
amitifadine,CHEMBL528995,NA,C1[C@H]2[C@@]1(CNC2)C3=CC(=C(C=C3)Cl)Cl,SLC6A3,6531
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,SLC6A2,6530
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CHRM2,1129
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CHRM1,1128
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CHRM5,1133
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,SLC6A4,6532
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CYP2D6,1565
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CHRM3,1131
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CHRM4,1132
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,HTR6,3362
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,HRH1,3269
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,PLA2G1B,5319
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CASR,846
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,IFNG,3458
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,PRL,5617
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,ADA,100
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,HTR2A,3356
amitriptyline hydrochloride,CHEMBL1200964,NA,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,HTT,3064
amitriptyline hydrochloride,CHEMBL1200964,NA,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,NAT1,9
amlexanox,CHEMBL1096,DB01025,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,PDE4A,5141
amlexanox,CHEMBL1096,DB01025,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,PDE4C,5143
amlexanox,CHEMBL1096,DB01025,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,PDE4B,5142
amlexanox,CHEMBL1096,DB01025,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,EGFR,1956
amlexanox,CHEMBL1096,DB01025,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,TBK1,29110
amlexanox,CHEMBL1096,DB01025,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,IKBKE,9641
amlexanox,CHEMBL1096,DB01025,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,PDE4D,5144
amlodipine,CHEMBL1491,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,CACNA1S,779
amlodipine,CHEMBL1491,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,CACNA2D1,781
amlodipine,CHEMBL1491,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,CACNA1D,776
amlodipine,CHEMBL1491,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,CACNA1C,775
amlodipine,CHEMBL1491,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,CACNA1B,774
amlodipine,CHEMBL1491,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,CACNG1,786
amlodipine,CHEMBL1491,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,CACNB2,783
amlodipine besylate,CHEMBL1200402,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C1=CC=C(C=C1)S(=O)(=O)O,CACNA1C,775
amlodipine besylate,CHEMBL1200402,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C1=CC=C(C=C1)S(=O)(=O)O,CACNA1D,776
amlodipine besylate,CHEMBL1200402,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C1=CC=C(C=C1)S(=O)(=O)O,CACNA1S,779
amlodipine besylate,CHEMBL1200402,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C1=CC=C(C=C1)S(=O)(=O)O,CACNA1F,778
amlodipine maleate,CHEMBL1200984,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C(=C\C(=O)O)\C(=O)O,CACNA1S,779
amlodipine maleate,CHEMBL1200984,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C(=C\C(=O)O)\C(=O)O,CACNA1D,776
amlodipine maleate,CHEMBL1200984,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C(=C\C(=O)O)\C(=O)O,CACNA1F,778
amlodipine maleate,CHEMBL1200984,DB00381,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C(=C\C(=O)O)\C(=O)O,CACNA1C,775
amobarbital,CHEMBL267894,DB01351,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,GABRA1,2554
amodiaquine hydrochloride,CHEMBL1630,NA,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O.Cl,FPR2,2358
