DrugName,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetName,Accession,TargetGeneSymbol_Entrez,Swissprot,Organism
aripiprazole lauroxil,CHEMBL2219425,DB01238,CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=CC=C(OCCCCN3CCN(CC3)C3=C(Cl)C(Cl)=CC=C3)C=C12,5-hydroxytryptamine receptor 1D,P28221,HTR1D,5HT1D_HUMAN,Homo sapiens
aripiprazole lauroxil,CHEMBL2219425,DB01238,CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=CC=C(OCCCCN3CCN(CC3)C3=C(Cl)C(Cl)=CC=C3)C=C12,5-hydroxytryptamine receptor 1B,P28222,HTR1B,5HT1B_HUMAN,Homo sapiens
armodafinil,CHEMBL1201192,DB06413,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,Sodium-dependent dopamine transporter,Q01959,SLC6A3,SC6A3_HUMAN,Homo sapiens
armodafinil,CHEMBL1201192,DB06413,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,D(2) dopamine receptor,P14416,DRD2,DRD2_HUMAN,Homo sapiens
armodafinil,CHEMBL1201192,DB06413,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,Cytochrome P450 2C19,P33261,CYP2C19,CP2CJ_HUMAN,Homo sapiens
armodafinil,CHEMBL1201192,DB06413,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,Cytochrome P450 1A2,P05177,CYP1A2,CP1A2_HUMAN,Homo sapiens
armodafinil,CHEMBL1201192,DB06413,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,Alpha-1B adrenergic receptor,P35368,ADRA1B,ADA1B_HUMAN,Homo sapiens
arsenic trioxide,CHEMBL1200978,NA,O=[As]O[As]=O,Thioredoxin reductase 1 cytoplasmic,Q16881,TXNRD1,TRXR1_HUMAN,Homo sapiens
arsenic trioxide,CHEMBL1200978,NA,O=[As]O[As]=O,Potassium voltage-gated channel subfamily H member 2,Q12809,KCNH2,KCNH2_HUMAN,Homo sapiens
artemisinin,CHEMBL269671,DB13132,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,Cytochrome P450 1A2,P05177,CYP1A2,CP1A2_HUMAN,Homo sapiens
articaine,CHEMBL1093,DB09009,CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC,Sodium channel alpha subunits; brain (Types I II III),P35498,SCN1A,SCN1A_HUMAN,Homo sapiens
articaine,CHEMBL1093,DB09009,CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC,Sodium channel alpha subunits; brain (Types I II III),Q99250,SCN2A,SCN2A_HUMAN,Homo sapiens
articaine,CHEMBL1093,DB09009,CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC,Sodium channel alpha subunits; brain (Types I II III),Q9NY46,SCN3A,SCN3A_HUMAN,Homo sapiens
ascorbic acid,CHEMBL196,DB00126,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,Solute carrier family 23 member 1,Q9UHI7,SLC23A1,S23A1_HUMAN,Homo sapiens
ascorbic acid,CHEMBL196,DB00126,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,Solute carrier family 23 member 2,Q9UGH3,SLC23A2,S23A2_HUMAN,Homo sapiens
ascorbic acid,CHEMBL196,DB00126,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,Procollagen-lysine2-oxoglutarate 5-dioxygenase 1,Q02809,PLOD1,PLOD1_HUMAN,Homo sapiens
ascorbic acid,CHEMBL196,DB00126,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,Prolyl 4-hydroxylase subunit alpha-1,P13674,P4HA1,P4HA1_HUMAN,Homo sapiens
ascorbic acid,CHEMBL196,DB00126,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,Tyrosinase,P14679,TYR,TYRO_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Alpha-1B adrenergic receptor,P35368,ADRA1B,ADA1B_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Alpha-2A adrenergic receptor,P08913,ADRA2A,ADA2A_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,5-hydroxytryptamine receptor 2A,P28223,HTR2A,5HT2A_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,D(2) dopamine receptor,P14416,DRD2,DRD2_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,5-hydroxytryptamine receptor 5A,P47898,HTR5A,5HT5A_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,D(4) dopamine receptor,P21917,DRD4,DRD4_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,5-hydroxytryptamine receptor 1B,P28222,HTR1B,5HT1B_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Histamine H2 receptor,P25021,HRH2,HRH2_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Histamine H1 receptor,P35367,HRH1,HRH1_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,D(3) dopamine receptor,P35462,DRD3,DRD3_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Alpha-2B adrenergic receptor,P18089,ADRA2B,ADA2B_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Alpha-1A adrenergic receptor,P35348,ADRA1A,ADA1A_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,5-hydroxytryptamine receptor 7,P34969,HTR7,5HT7R_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,5-hydroxytryptamine receptor 6,P50406,HTR6,5HT6R_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,5-hydroxytryptamine receptor 2C,P28335,HTR2C,5HT2C_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,5-hydroxytryptamine receptor 2B,P41595,HTR2B,5HT2B_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,5-hydroxytryptamine receptor 1A,P08908,HTR1A,5HT1A_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,D(1A) dopamine receptor,P21728,DRD1,DRD1_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Alpha-2C adrenergic receptor,P18825,ADRA2C,ADA2C_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,D(1B) dopamine receptor,P21918,DRD5,DRD5_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Muscarinic acetylcholine receptor M5,P08912,CHRM5,ACM5_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,5-hydroxytryptamine receptor 3A,P46098,HTR3A,5HT3A_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Muscarinic acetylcholine receptor M1,P11229,CHRM1,ACM1_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Muscarinic acetylcholine receptor M2,P08172,CHRM2,ACM2_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Sodium-dependent dopamine transporter,Q01959,SLC6A3,SC6A3_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Muscarinic acetylcholine receptor M3,P20309,CHRM3,ACM3_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Beta-2 adrenergic receptor,P07550,ADRB2,ADRB2_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,Beta-1 adrenergic receptor,P08588,ADRB1,ADRB1_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,5-hydroxytryptamine receptor 1E,P28566,HTR1E,5HT1E_HUMAN,Homo sapiens
asenapine,CHEMBL504548,DB06216,CN1CC2C(C1)C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,5-hydroxytryptamine receptor 1D,P28221,HTR1D,5HT1D_HUMAN,Homo sapiens
aspartic acid,CHEMBL274323,DB00128,N[C@@H](CC(O)=O)C(O)=O,Aspartate--tRNA ligase cytoplasmic,P14868,DARS,SYDC_HUMAN,Homo sapiens
aspartic acid,CHEMBL274323,DB00128,N[C@@H](CC(O)=O)C(O)=O,Aspartyl/asparaginyl beta-hydroxylase,Q12797,ASPH,ASPH_HUMAN,Homo sapiens
aspartic acid,CHEMBL274323,DB00128,N[C@@H](CC(O)=O)C(O)=O,Aspartate aminotransferase mitochondrial,P00505,GOT2,AATM_HUMAN,Homo sapiens
aspartic acid,CHEMBL274323,DB00128,N[C@@H](CC(O)=O)C(O)=O,Aminoacylase-1,Q03154,ACY1,ACY1_HUMAN,Homo sapiens
aspartic acid,CHEMBL274323,DB00128,N[C@@H](CC(O)=O)C(O)=O,Argininosuccinate synthase,P00966,ASS1,ASSY_HUMAN,Homo sapiens
aspartic acid,CHEMBL274323,DB00128,N[C@@H](CC(O)=O)C(O)=O,Asparagine synthetase [glutamine-hydrolyzing],P08243,ASNS,ASNS_HUMAN,Homo sapiens
aspartic acid,CHEMBL274323,DB00128,N[C@@H](CC(O)=O)C(O)=O,Aspartoacylase,P45381,ASPA,ACY2_HUMAN,Homo sapiens
aspartic acid,CHEMBL274323,DB00128,N[C@@H](CC(O)=O)C(O)=O,Aspartate aminotransferase cytoplasmic,P17174,GOT1,AATC_HUMAN,Homo sapiens
aspartic acid,CHEMBL274323,DB00128,N[C@@H](CC(O)=O)C(O)=O,Calcium-binding mitochondrial carrier protein Aralar1,O75746,SLC25A12,CMC1_HUMAN,Homo sapiens
aspartic acid,CHEMBL274323,DB00128,N[C@@H](CC(O)=O)C(O)=O,Calcium-binding mitochondrial carrier protein Aralar2,Q9UJS0,SLC25A13,CMC2_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Potassium voltage-gated channel subfamily H member 1,O95259,KCNH1,KCNH1_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Beta-1 adrenergic receptor,P08588,ADRB1,ADRB1_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Mu-type opioid receptor,P35372,OPRM1,OPRM_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,D(1A) dopamine receptor,P21728,DRD1,DRD1_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,D(2) dopamine receptor,P14416,DRD2,DRD2_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Alpha-2A adrenergic receptor,P08913,ADRA2A,ADA2A_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Sigma non-opioid intracellular receptor 1,Q99720,SIGMAR1,SGMR1_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Sodium-dependent serotonin transporter,P31645,SLC6A4,SC6A4_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Sodium-dependent noradrenaline transporter,P23975,SLC6A2,SC6A2_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,5-hydroxytryptamine receptor 1A,P08908,HTR1A,5HT1A_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,5-hydroxytryptamine receptor 2A,P28223,HTR2A,5HT2A_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,5-hydroxytryptamine receptor 2B,P41595,HTR2B,5HT2B_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,5-hydroxytryptamine receptor 2C,P28335,HTR2C,5HT2C_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,5-hydroxytryptamine receptor 6,P50406,HTR6,5HT6R_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Alpha-2B adrenergic receptor,P18089,ADRA2B,ADA2B_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,D(3) dopamine receptor,P35462,DRD3,DRD3_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Histamine H2 receptor,P25021,HRH2,HRH2_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Muscarinic acetylcholine receptor M1,P11229,CHRM1,ACM1_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Muscarinic acetylcholine receptor M2,P08172,CHRM2,ACM2_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Muscarinic acetylcholine receptor M3,P20309,CHRM3,ACM3_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Muscarinic acetylcholine receptor M4,P08173,CHRM4,ACM4_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Muscarinic acetylcholine receptor M5,P08912,CHRM5,ACM5_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Beta-3 adrenergic receptor,P13945,ADRB3,ADRB3_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Alpha-2C adrenergic receptor,P18825,ADRA2C,ADA2C_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Sodium-dependent dopamine transporter,Q01959,SLC6A3,SC6A3_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Adenosine receptor A3,P0DMS8,ADORA3,AA3R_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,D(4) dopamine receptor,P21917,DRD4,DRD4_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Alpha-1D adrenergic receptor,P25100,ADRA1D,ADA1D_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,5-hydroxytryptamine receptor 3A,P46098,HTR3A,5HT3A_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Kappa-type opioid receptor,P41145,OPRK1,OPRK_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Delta-type opioid receptor,P41143,OPRD1,OPRD_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Epidermal growth factor receptor,P00533,EGFR,EGFR_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Substance-P receptor,P25103,TACR1,NK1R_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Tyrosine-protein kinase Lck,P06239,LCK,LCK_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Tyrosine-protein kinase Fyn,P06241,FYN,FYN_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Receptor tyrosine-protein kinase erbB-2,P04626,ERBB2,ERBB2_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Substance-K receptor,P21452,TACR2,NK2R_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Sodium/nucleoside cotransporter 1,O00337,SLC28A1,S28A1_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Melanocortin receptor 4,P32245,MC4R,MC4R_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Melanocortin receptor 5,P33032,MC5R,MC5R_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Melanocortin receptor 3,P41968,MC3R,MC3R_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Calmodulin,P62158,CALM1,CALM_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,ATP-binding cassette sub-family G member 2,Q9UNQ0,ABCG2,ABCG2_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Histamine H1 receptor,P35367,HRH1,HRH1_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Multidrug resistance protein 1,P08183,ABCB1,MDR1_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Cytochrome P450 3A4,P08684,CYP3A4,CP3A4_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Potassium voltage-gated channel subfamily H member 2,Q12809,KCNH2,KCNH2_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Histamine H4 receptor,Q9H3N8,HRH4,HRH4_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Somatostatin receptor type 5,P35346,SSTR5,SSR5_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Multidrug and toxin extrusion protein 1,Q96FL8,SLC47A1,S47A1_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Polycomb protein EED,O75530,EED,EED_HUMAN,Homo sapiens
astemizole,CHEMBL296419,DB00637,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1,Glycine receptor subunit alpha-1,P23415,GLRA1,GLRA1_HUMAN,Homo sapiens
asulacrine,CHEMBL48880,NA,CNC(=O)C1=CC=CC2=C(NC3=C(OC)C=C(NS(C)(=O)=O)C=C3)C3=CC=CC(C)=C3N=C12,DNA topoisomerase 2-alpha,P11388,TOP2A,TOP2A_HUMAN,Homo sapiens
atazanavir,CHEMBL1163,DB01072,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=CC=CC=N1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,UDP-glucuronosyltransferase 1-1,P22309,UGT1A1,UD11_HUMAN,Homo sapiens
atazanavir,CHEMBL1163,DB01072,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=CC=CC=N1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,Cytochrome P450 1A2,P05177,CYP1A2,CP1A2_HUMAN,Homo sapiens
atazanavir,CHEMBL1163,DB01072,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=CC=CC=N1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,Cytochrome P450 2C9,P11712,CYP2C9,CP2C9_HUMAN,Homo sapiens
atazanavir,CHEMBL1163,DB01072,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=CC=CC=N1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,Cytochrome P450 3A4,P08684,CYP3A4,CP3A4_HUMAN,Homo sapiens
atazanavir,CHEMBL1163,DB01072,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=CC=CC=N1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,Multidrug resistance protein 1,P08183,ABCB1,MDR1_HUMAN,Homo sapiens
atenolol,CHEMBL24,DB00335,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,Adenosine receptor A3,P0DMS8,ADORA3,AA3R_HUMAN,Homo sapiens
atenolol,CHEMBL24,DB00335,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,Beta-1 adrenergic receptor,P08588,ADRB1,ADRB1_HUMAN,Homo sapiens
atenolol,CHEMBL24,DB00335,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,Beta-2 adrenergic receptor,P07550,ADRB2,ADRB2_HUMAN,Homo sapiens
